Episode: 0 | Get | Episode reward: 1487.231 | Episode steps: 13683 | Episode cost: 26.996 | Episode time: 229.546 seconds
Episode: 1 | Get | Episode reward: 1655.384 | Episode steps: 11106 | Episode cost: 86.448 | Episode time: 185.282 seconds
Episode: 2 | Get | Episode reward: 529.576 | Episode steps: 6493 | Episode cost: 39.797 | Episode time: 108.498 seconds
Episode: 3 | Get | Episode reward: 681.575 | Episode steps: 11386 | Episode cost: 28.426 | Episode time: 189.98 seconds
Episode: 4 | Get | Episode reward: 181.231 | Episode steps: 485 | Episode cost: 2.118 | Episode time: 8.099 seconds
Episode: 5 | Get | Episode reward: 200.521 | Episode steps: 1384 | Episode cost: 11.428 | Episode time: 23.083 seconds
Episode: 6 | Get | Episode reward: 270.436 | Episode steps: 4550 | Episode cost: 38.907 | Episode time: 76.265 seconds
Episode: 7 | Get | Episode reward: 112.164 | Episode steps: 432 | Episode cost: 2.039 | Episode time: 7.216 seconds
Episode: 8 | Get | Episode reward: 175.338 | Episode steps: 1034 | Episode cost: 6.313 | Episode time: 17.266 seconds
Episode: 9 | Get | Episode reward: 115.914 | Episode steps: 487 | Episode cost: 4.264 | Episode time: 8.132 seconds
Episode: 10 | Get | Episode reward: 125.606 | Episode steps: 439 | Episode cost: 5.487 | Episode time: 7.416 seconds
Episode: 11 | Get | Episode reward: 196.386 | Episode steps: 3814 | Episode cost: 44.845 | Episode time: 63.716 seconds
Episode: 12 | Get | Episode reward: 152.332 | Episode steps: 448 | Episode cost: 4.376 | Episode time: 7.551 seconds
Episode: 13 | Get | Episode reward: 87.729 | Episode steps: 322 | Episode cost: 3.41 | Episode time: 5.4 seconds
Episode: 14 | Get | Episode reward: 77.608 | Episode steps: 246 | Episode cost: 3.357 | Episode time: 4.117 seconds
Episode: 15 | Get | Episode reward: 92.246 | Episode steps: 264 | Episode cost: 2.335 | Episode time: 4.499 seconds
Episode: 16 | Get | Episode reward: 137.845 | Episode steps: 695 | Episode cost: 7.22 | Episode time: 11.666 seconds
Episode: 17 | Get | Episode reward: 90.316 | Episode steps: 323 | Episode cost: 4.415 | Episode time: 5.432 seconds
Episode: 18 | Get | Episode reward: 141.159 | Episode steps: 511 | Episode cost: 8.724 | Episode time: 8.551 seconds
Episode: 19 | Get | Episode reward: 67.141 | Episode steps: 227 | Episode cost: 5.096 | Episode time: 3.8 seconds
Episode: 20 | Get | Episode reward: 101.87 | Episode steps: 479 | Episode cost: 9.966 | Episode time: 8.001 seconds
