Episode: 0 | Get | Episode reward: 1266.424 | Episode steps: 3570 | Episode cost: 145.587 | Episode time: 61.797 seconds
Episode: 1 | Get | Episode reward: 930.214 | Episode steps: 11260 | Episode cost: 96.073 | Episode time: 187.715 seconds
Episode: 2 | Get | Episode reward: 794.204 | Episode steps: 6858 | Episode cost: 37.892 | Episode time: 114.332 seconds
Episode: 3 | Get | Episode reward: 845.149 | Episode steps: 3560 | Episode cost: 39.398 | Episode time: 59.366 seconds
Episode: 4 | Get | Episode reward: 283.808 | Episode steps: 3616 | Episode cost: 25.562 | Episode time: 60.283 seconds
Episode: 5 | Get | Episode reward: 160.776 | Episode steps: 644 | Episode cost: 2.502 | Episode time: 10.75 seconds
Episode: 6 | Get | Episode reward: 120.619 | Episode steps: 488 | Episode cost: 2.271 | Episode time: 8.166 seconds
Episode: 7 | Get | Episode reward: 95.23 | Episode steps: 510 | Episode cost: 2.949 | Episode time: 8.516 seconds
Episode: 8 | Get | Episode reward: 99.599 | Episode steps: 326 | Episode cost: 2.165 | Episode time: 5.467 seconds
Episode: 9 | Get | Episode reward: 193.922 | Episode steps: 3398 | Episode cost: 20.76 | Episode time: 56.65 seconds
Episode: 10 | Get | Episode reward: 138.524 | Episode steps: 703 | Episode cost: 1.956 | Episode time: 11.733 seconds
Episode: 11 | Get | Episode reward: 117.625 | Episode steps: 347 | Episode cost: 1.36 | Episode time: 5.817 seconds
Episode: 12 | Get | Episode reward: 66.978 | Episode steps: 235 | Episode cost: 1.433 | Episode time: 3.95 seconds
Episode: 13 | Get | Episode reward: 111.609 | Episode steps: 339 | Episode cost: 2.314 | Episode time: 5.667 seconds
Episode: 14 | Get | Episode reward: 75.829 | Episode steps: 261 | Episode cost: 2.197 | Episode time: 4.366 seconds
Episode: 15 | Get | Episode reward: 169.507 | Episode steps: 755 | Episode cost: 6.687 | Episode time: 12.6 seconds
Episode: 16 | Get | Episode reward: 161.866 | Episode steps: 1699 | Episode cost: 16.891 | Episode time: 28.333 seconds
Episode: 17 | Get | Episode reward: 74.982 | Episode steps: 261 | Episode cost: 2.705 | Episode time: 4.366 seconds
Episode: 18 | Get | Episode reward: 92.9 | Episode steps: 333 | Episode cost: 3.225 | Episode time: 5.567 seconds
Episode: 19 | Get | Episode reward: 106.158 | Episode steps: 426 | Episode cost: 3.606 | Episode time: 7.116 seconds
Episode: 20 | Get | Episode reward: 122.301 | Episode steps: 609 | Episode cost: 4.63 | Episode time: 10.168 seconds
Episode: 21 | Get | Episode reward: 89.517 | Episode steps: 334 | Episode cost: 2.764 | Episode time: 5.6 seconds
Episode: 22 | Get | Episode reward: 121.642 | Episode steps: 622 | Episode cost: 5.088 | Episode time: 10.383 seconds
Episode: 23 | Get | Episode reward: 72.166 | Episode steps: 238 | Episode cost: 2.037 | Episode time: 3.983 seconds
Episode: 24 | Get | Episode reward: 88.38 | Episode steps: 333 | Episode cost: 3.192 | Episode time: 5.583 seconds
Episode: 25 | Get | Episode reward: 87.821 | Episode steps: 270 | Episode cost: 2.896 | Episode time: 4.533 seconds
Episode: 26 | Get | Episode reward: 110.413 | Episode steps: 341 | Episode cost: 3.991 | Episode time: 5.717 seconds
Episode: 27 | Get | Episode reward: 76.785 | Episode steps: 278 | Episode cost: 3.485 | Episode time: 4.65 seconds
Episode: 28 | Get | Episode reward: 154.942 | Episode steps: 2269 | Episode cost: 21.192 | Episode time: 37.849 seconds
Episode: 29 | Get | Episode reward: 66.072 | Episode steps: 244 | Episode cost: 1.855 | Episode time: 4.083 seconds
Episode: 30 | Get | Episode reward: 75.563 | Episode steps: 228 | Episode cost: 1.669 | Episode time: 3.817 seconds
Episode: 31 | Get | Episode reward: 64.819 | Episode steps: 221 | Episode cost: 1.469 | Episode time: 3.699 seconds
Episode: 32 | Get | Episode reward: 128.432 | Episode steps: 334 | Episode cost: 2.709 | Episode time: 5.584 seconds
Episode: 33 | Get | Episode reward: 74.433 | Episode steps: 229 | Episode cost: 2.128 | Episode time: 3.833 seconds
