Episode: 0 | Get | Episode reward: 1410.185 | Episode steps: 5814 | Episode cost: 42.324 | Episode time: 38.358 seconds
Episode: 1 | Get | Episode reward: 6224.907 | Episode steps: 29329 | Episode cost: 238.783 | Episode time: 93.554 seconds
Episode: 2 | Get | Episode reward: 565.115 | Episode steps: 2053 | Episode cost: 52.646 | Episode time: 4.907 seconds
Episode: 3 | Get | Episode reward: 1190.272 | Episode steps: 3014 | Episode cost: 94.169 | Episode time: 6.807 seconds
Episode: 4 | Get | Episode reward: 155.586 | Episode steps: 489 | Episode cost: 13.795 | Episode time: 0.866 seconds
Episode: 5 | Get | Episode reward: 115.947 | Episode steps: 463 | Episode cost: 13.899 | Episode time: 0.796 seconds
Episode: 6 | Get | Episode reward: 406.921 | Episode steps: 834 | Episode cost: 24.31 | Episode time: 1.511 seconds
Episode: 7 | Get | Episode reward: 160.379 | Episode steps: 378 | Episode cost: 9.804 | Episode time: 0.654 seconds
Episode: 8 | Get | Episode reward: 193.362 | Episode steps: 1105 | Episode cost: 30.32 | Episode time: 3.743 seconds
Episode: 9 | Get | Episode reward: 89.977 | Episode steps: 318 | Episode cost: 6.864 | Episode time: 1.501 seconds
Episode: 10 | Get | Episode reward: 169.524 | Episode steps: 463 | Episode cost: 10.623 | Episode time: 5.616 seconds
Episode: 11 | Get | Episode reward: 147.132 | Episode steps: 406 | Episode cost: 8.381 | Episode time: 6.784 seconds
Episode: 12 | Get | Episode reward: 126.596 | Episode steps: 549 | Episode cost: 10.642 | Episode time: 2.406 seconds
Episode: 13 | Get | Episode reward: 277.094 | Episode steps: 1820 | Episode cost: 30.295 | Episode time: 29.679 seconds
Episode: 14 | Get | Episode reward: 244.068 | Episode steps: 594 | Episode cost: 7.206 | Episode time: 6.387 seconds
Episode: 15 | Get | Episode reward: 173.009 | Episode steps: 654 | Episode cost: 9.413 | Episode time: 1.25 seconds
Episode: 16 | Get | Episode reward: 118.728 | Episode steps: 411 | Episode cost: 5.877 | Episode time: 0.861 seconds
Episode: 17 | Get | Episode reward: 118.394 | Episode steps: 331 | Episode cost: 5.159 | Episode time: 0.65 seconds
Episode: 18 | Get | Episode reward: 113.164 | Episode steps: 326 | Episode cost: 5.232 | Episode time: 0.675 seconds
Episode: 19 | Get | Episode reward: 210.597 | Episode steps: 536 | Episode cost: 7.335 | Episode time: 0.996 seconds
Episode: 20 | Get | Episode reward: 122.173 | Episode steps: 351 | Episode cost: 5.977 | Episode time: 0.655 seconds
Episode: 21 | Get | Episode reward: 172.999 | Episode steps: 631 | Episode cost: 11.391 | Episode time: 1.153 seconds
Episode: 22 | Get | Episode reward: 93.071 | Episode steps: 265 | Episode cost: 5.067 | Episode time: 0.485 seconds
